Date,Open
2019-11-13,1294.069946
2019-11-14,1297.500000
2019-11-15,1318.939941
2019-11-18,1332.219971
2019-11-19,1327.699951
2019-11-20,1311.739990
2019-11-21,1301.479980
2019-11-22,1305.619995
2019-11-25,1299.180054
2019-11-26,1309.859985
2019-11-27,1315.000000
2019-11-29,1307.119995
2019-12-02,1301.000000
2019-12-03,1279.569946
2019-12-04,1307.010010
2019-12-05,1328.000000
2019-12-06,1333.439941
2019-12-09,1338.040039
2019-12-10,1341.500000
2019-12-11,1350.839966
2019-12-12,1345.939941
2019-12-13,1347.949951
2019-12-16,1356.500000
2019-12-17,1362.890015
2019-12-18,1356.599976
2019-12-19,1351.819946
2019-12-20,1363.349976
2019-12-23,1355.869995
2019-12-24,1348.500000
2019-12-26,1346.170044
2019-12-27,1362.989990
2019-12-30,1350.000000
2019-12-31,1330.109985
2020-01-02,1341.550049
2020-01-03,1347.859985
2020-01-06,1350.000000
2020-01-07,1397.939941
2020-01-08,1392.079956
2020-01-09,1420.569946
2020-01-10,1427.560059
2020-01-13,1436.130005
2020-01-14,1439.010010
2020-01-15,1430.209961
2020-01-16,1447.439941
2020-01-17,1462.910034
2020-01-21,1479.119995
2020-01-22,1491.000000
2020-01-23,1487.640015
2020-01-24,1493.589966
2020-01-27,1431.000000
2020-01-28,1443.000000
2020-01-29,1458.800049
2020-01-30,1439.959961
2020-01-31,1468.900024
2020-02-03,1462.000000
2020-02-04,1457.069946
2020-02-05,1462.420044
2020-02-06,1450.329956
2020-02-07,1467.300049
2020-02-10,1474.319946
2020-02-11,1511.810059
2020-02-12,1514.479980
2020-02-13,1512.689941
2020-02-14,1515.599976
2020-02-18,1515.000000
2020-02-19,1525.069946
2020-02-20,1522.000000
2020-02-21,1508.030029
2020-02-24,1426.109985
2020-02-25,1433.000000
2020-02-26,1396.140015
2020-02-27,1362.060059
2020-02-28,1277.500000
2020-03-02,1351.609985
2020-03-03,1399.420044
2020-03-04,1359.229980
2020-03-05,1350.199951
2020-03-06,1277.060059
2020-03-09,1205.300049
2020-03-10,1260.000000
2020-03-11,1249.699951
2020-03-12,1126.000000
2020-03-13,1179.000000
2020-03-16,1096.000000
2020-03-17,1093.109985
2020-03-18,1056.510010
2020-03-19,1093.050049
2020-03-20,1135.719971
2020-03-23,1061.319946
2020-03-24,1103.770020
2020-03-25,1126.469971
2020-03-26,1111.800049
2020-03-27,1125.670044
2020-03-30,1125.040039
2020-03-31,1147.300049
